,to_user_type,from_user_type,to_user_bot_type,from_user_bot_type,canonical_url,date_published,domain,from_user_id,from_user_screen_name,id,is_mention,site_type,title,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,url_id,site_domain,url_raw,original_query,from_user_botscore,to_user_botscore,tweet_url,pub_date
1307,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,314031914,tvegaw,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,328218349,FRANCISCOJZAPPI,2021-07-23T18:07:14.000Z,1418633821969334273,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.16,0.27,https://twitter.com/tvegaw/status/1418633821969334273,
1308,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,314031914,tvegaw,2421672.0,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,299693451,tvnnoticias,2021-07-23T18:07:14.000Z,1418633821969334273,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.16,0.73,https://twitter.com/tvegaw/status/1418633821969334273,
1309,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,314031914,tvegaw,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1409965770,rudelarosa05,2021-07-23T18:07:14.000Z,1418633821969334273,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.16,0.22,https://twitter.com/tvegaw/status/1418633821969334273,
1310,human,human,,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1168574503548588034,texaspatriette,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,998208585636237312,bone00afide,2021-07-24T16:49:05.000Z,1418976540927401987,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.07,0.14,https://twitter.com/texaspatriette/status/1418976540927401987,
1311,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1168574503548588034,texaspatriette,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,2836421,MSNBC,2021-07-24T16:50:45.000Z,1418976959585996807,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.07,0.57,https://twitter.com/texaspatriette/status/1418976959585996807,
1312,bot,human,spammer,,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1168574503548588034,texaspatriette,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1397659858372116486,GashForCongress,2021-07-24T18:16:06.000Z,1418998441565319168,reply,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.07,0.44,https://twitter.com/texaspatriette/status/1418998441565319168,
1313,human,bot,,private_account,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1346303053373308930,DDonP3,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1271174799696388097,justint98137329,2021-07-24T20:21:33.000Z,1419030011734937600,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,1.0,0.32,https://twitter.com/DDonP3/status/1419030011734937600,
1314,human,bot,,private_account,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1346303053373308930,DDonP3,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1354938253997031427,Overit83272686,2021-07-24T17:33:41.000Z,1418987765434302464,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,1.0,0.41,https://twitter.com/DDonP3/status/1418987765434302464,
1315,bot,bot,private_account,private_account,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1346303053373308930,DDonP3,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1394996435758854146,DFred57,2021-07-24T17:23:50.000Z,1418985288458719249,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,1.0,0.73,https://twitter.com/DDonP3/status/1418985288458719249,
1316,bot,bot,other,private_account,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1346303053373308930,DDonP3,2421672.0,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,3899337568,LewtonSerena5,2021-07-24T18:05:20.000Z,1418995730899943430,retweet,270527883.0,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,1.0,0.85,https://twitter.com/DDonP3/status/1418995730899943430,
