,username,before_percolation,after_percolation,degree,change
995,Hsolamartin,0.0,0.0,286,no change
412,GiGiCaponePR,0.0,0.0,285,no change
991,NOgnanovich,0.0,0.0,271,no change
989,Miellettes,0.0,0.0,270,no change
407,AppropsDems,0.0,0.0,269,no change
406,Edison_Inv_Res,0.0,0.0,265,no change
355,ROINJNews,0.0,0.0,265,no change
984,levycorreia,0.0,0.0,262,no change
982,Downg0esfrazier,0.0,0.0,260,no change
978,TheKingofReads,0.0,0.0,253,no change
975,Adlers1,0.0,0.0,251,no change
971,LshtmB,0.0,0.0,247,no change
400,Bobettio,0.0,0.0,246,no change
968,iyoba4u,0.0,0.0,244,no change
399,HousatonicLive,0.0,0.0,238,no change
292,zainrizvi,9.911686869988404e-06,1.2991509470514248e-05,232,increase
395,DestroRr2,0.0,0.0,230,no change
393,Monkeypoxtally,0.0,0.0,228,no change
224,SantePubliqueFr,0.0,0.0,218,no change
237,OneTwo47929160,0.0,0.0,212,no change
389,SDCountyHHSA,0.0,0.0,211,no change
950,Rana_pipiens,0.0,0.0,208,no change
383,Zach__Frank,0.0,0.0,200,no change
244,washingtonpost,9.911686869988404e-07,1.2165936254874537e-06,195,increase
944,Robnda216,0.0,0.0,195,no change
381,RickGuasco,0.0,0.0,194,no change
943,science_seattle,0.0,0.0,192,no change
100,Spectra_London,0.0,0.0,191,no change
940,bizcochitobby,0.0,0.0,186,no change
938,hq_temp_tatz,0.0,0.0,185,no change
373,VioletEglantine,0.0,0.0,179,no change
233,sambadouro,0.0,0.0,175,no change
934,ABecenti,0.0,0.0,175,no change
370,aafp,0.0,0.0,174,no change
369,drgilada,0.0,0.0,172,no change
857,Tiagolattari,0.0,0.0,170,no change
933,TheBlooch,0.0,0.0,170,no change
8,RepMikeQuigley,1.3876361617983764e-05,1.5439428021741472e-05,166,increase
365,cathyhobart,0.0,0.0,164,no change
330,CUEpidemiology,0.0,0.0,164,no change
116,ChiPublicHealth,2.973506060996521e-06,3.2873026304844544e-06,163,increase
364,Puryear_3,0.0,0.0,161,no change
307,Rpshahmemorial1,0.0,0.0,160,no change
703,TransLatina_C,0.0,0.0,160,no change
715,Locala_Safesex,0.0,0.0,157,no change
227,sfls_vih,9.911686869988404e-07,1.2165936254874537e-06,154,increase
362,picardonhealth,0.0,0.0,153,no change
327,crwequine,0.0,0.0,152,no change
734,editorji,0.0,0.0,149,no change
162,MagicMikeHung1,1.4867530304982605e-05,1.4637400128200857e-05,149,decrease
11,LGBTEqCaucus,4.955843434994202e-06,6.650789148967879e-06,145,increase
1384,guty2370,0.0,0.0,143,no change
917,gregtannen,0.0,0.0,142,no change
282,136sooverit62,0.0,0.0,140,no change
705,twitmercan,0.0,0.0,140,no change
278,Forbes,0.0,0.0,136,no change
337,SpookyLCSW,0.0,0.0,134,no change
916,OddlyGreen,0.0,0.0,134,no change
129,israfermoreno,2.973506060996521e-06,3.2873026304844544e-06,130,increase
276,AAPSonline,0.0,0.0,130,no change
353,ethicsinthenews,0.0,0.0,129,no change
273,yowchuan,0.0,0.0,128,no change
274,misscasiolrmy,0.0,0.0,126,no change
272,WHO,6.14524585939281e-05,7.652269265305534e-05,124,increase
351,Anti__Globalism,0.0,0.0,123,no change
271,WeAreHTSD,0.0,0.0,122,no change
269,FlavioCuter,0.0,0.0,120,no change
348,Mrg305,0.0,0.0,119,no change
909,SSalud_Tab,0.0,0.0,112,no change
342,jewstein3000,0.0,0.0,107,no change
772,CovidDataReport,2.973506060996521e-06,3.2873026304844544e-06,105,increase
340,NeZha219,0.0,0.0,104,no change
904,WHOEMRO,0.0,0.0,102,no change
903,TacosTriggers1,0.0,0.0,101,no change
902,overratedpunk,0.0,0.0,100,no change
900,Habte92144258,0.0,0.0,99,no change
109,1010WINS,2.973506060996521e-06,3.2873026304844544e-06,97,increase
257,ndtvfeed,0.0,0.0,97,no change
898,laurieallee,0.0,0.0,96,no change
142,pridecenterSI,9.911686869988404e-07,1.2165936254874537e-06,96,increase
336,UKHSA_YandH,0.0,0.0,95,no change
255,DailySabah,0.0,0.0,95,no change
334,wedi_suhul1,0.0,0.0,93,no change
253,APPG_HIV_AIDS,0.0,0.0,93,no change
332,gobills_norcal,0.0,0.0,89,no change
35,KarinWappmann,0.0,0.0,89,no change
750,avds,0.0,0.0,88,no change
3,GMHC,0.0,0.0,88,no change
106,glaad,6.938180808991882e-06,8.780917156741655e-06,87,increase
155,Gundrummer69,0.0,0.0,87,no change
70,AfricanServices,0.0,0.0,86,no change
154,nyk_new,0.0,0.0,85,no change
832,BSrichawlaDO,0.0,0.0,83,no change
248,Fred_Colby,0.0,0.0,83,no change
222,agenceANRS,9.911686869988404e-07,1.2165936254874537e-06,83,increase
97,HarperCollege,0.0,0.0,82,no change
246,l_glover5,0.0,0.0,81,no change
96,LianRowan,0.0,0.0,80,no change
13,CookCoHealth,1.2885192930984925e-05,1.6231815610676193e-05,79,increase
1,JakeSheridan_,0.0,0.0,79,no change
852,letsbeafineline,0.0,0.0,79,no change
329,SFDermatologie,0.0,0.0,79,no change
861,Damn_Tea,0.0,0.0,77,no change
94,Aricariman1,0.0,0.0,76,no change
240,MattBossons,0.0,0.0,74,no change
325,genarolozano,0.0,0.0,69,no change
323,claragweny,0.0,0.0,67,no change
177,GautengHealth,0.0,0.0,67,no change
120,PoudellCharles,4.955843434994202e-06,6.646419520358042e-06,66,increase
321,Daybreak_Health,0.0,0.0,61,no change
232,WGRZ,0.0,0.0,59,no change
320,ProfMBassetti,0.0,0.0,59,no change
230,TORCHOxford,0.0,0.0,57,no change
836,EddystoneTrust,0.0,0.0,57,no change
152,bahajolaf,0.0,0.0,56,no change
890,LeechFestPod,0.0,0.0,56,no change
229,MarketWatch,0.0,0.0,55,no change
889,realHayman,0.0,0.0,55,no change
888,evolving_string,0.0,0.0,54,no change
830,haveabj,0.0,0.0,52,no change
190,epocrates,0.0,0.0,52,no change
854,JustnEqual4all,0.0,0.0,51,no change
678,AUBMC_Official,0.0,0.0,51,no change
314,DrM_OnSpeaking,0.0,0.0,50,no change
839,CeylanSoley,0.0,0.0,48,no change
708,DefiledHorror,0.0,0.0,46,no change
312,AllenHaddick,0.0,0.0,45,no change
104,airnyc,0.0,0.0,45,no change
740,RedDoorChannel,0.0,0.0,44,no change
219,realTuckFrumper,0.0,0.0,44,no change
310,DrJudyMonroe,0.0,0.0,43,no change
784,chzchopgnipgnop,0.0,0.0,43,no change
717,GinaMurrell1,0.0,0.0,41,no change
725,WLVRNews,0.0,0.0,41,no change
203,LoGillian1,0.0,0.0,40,no change
605,IDAdvance,0.0,0.0,40,no change
681,ARS_NAquit,0.0,0.0,40,no change
77,FringeViews,9.911686869988404e-07,1.2165936254874537e-06,40,increase
701,WitchDrTim,0.0,0.0,39,no change
884,J3s__us,0.0,0.0,39,no change
81,Gally66kg,0.0,0.0,39,no change
170,SamySosaSyringe,0.0,0.0,38,no change
851,londeixp,0.0,0.0,38,no change
737,michaelwvilla,0.0,0.0,38,no change
117,TrevisDampierM1,0.0,0.0,37,no change
213,vixenworkers,0.0,0.0,37,no change
817,topcat430,0.0,0.0,36,no change
600,Heypierinaa,0.0,0.0,35,no change
303,orfonline,0.0,0.0,35,no change
124,jsolomonReports,0.0,0.0,34,no change
210,nicolamlow,0.0,0.0,33,no change
721,YogiMan2021,9.911686869988404e-07,1.2165936254874537e-06,32,increase
126,JustTheNews,0.0,0.0,32,no change
167,EuphaIdc,0.0,0.0,32,no change
115,epicenter_nyc,0.0,0.0,32,no change
813,smitten312,0.0,0.0,32,no change
208,KObayashidoroth,0.0,0.0,31,no change
773,DavidHarveyC,0.0,0.0,31,no change
837,DrVeller,0.0,0.0,30,no change
52,nrc_rim,0.0,0.0,30,no change
710,Alexholmes2222,0.0,0.0,30,no change
30,wcpublichealth,0.0,0.0,29,no change
812,TruthAddict11,0.0,0.0,29,no change
125,TheReaderA,0.0,0.0,28,no change
1397,MyHomeLabs,0.0,0.0,28,no change
655,FionaStJamesDS9,0.0,0.0,27,no change
58,wearephsny,0.0,0.0,26,no change
805,PghLesbian24,0.0,0.0,26,no change
1395,potpoxmonkey,0.0,0.0,26,no change
843,UNESCO_fr,0.0,0.0,25,no change
42,LGBTCenterNYC,0.0,0.0,24,no change
797,wcbs880,0.0,0.0,24,no change
552,NHS_GM,0.0,0.0,24,no change
608,ABIAIDS,0.0,0.0,24,no change
719,AleX_SzHz,0.0,0.0,24,no change
204,pamelacurr,0.0,0.0,23,no change
294,gvrdenctrl,0.0,0.0,22,no change
808,OPFORPio,0.0,0.0,22,no change
47,EliKnesol,9.911686869988404e-07,1.2165936254874537e-06,21,increase
137,them,0.0,0.0,21,no change
122,microbilogy,0.0,0.0,20,no change
606,OntheGroundWI,0.0,0.0,20,no change
68,One_Colorado,0.0,0.0,20,no change
724,PPosledovich,0.0,0.0,19,no change
746,TIICANN,9.911686869988404e-07,1.2165936254874537e-06,18,increase
685,ViventHealth,0.0,0.0,18,no change
541,RIHEALTH,0.0,0.0,18,no change
176,drariyanalovely,0.0,0.0,17,no change
78,MiguelDante,0.0,0.0,16,no change
879,magnumoppis,0.0,0.0,16,no change
159,dr_demetre,0.0,0.0,16,no change
775,itrixy,0.0,0.0,16,no change
1393,osekoer,0.0,0.0,16,no change
65,sdcltrc,0.0,0.0,15,no change
604,KarlBau35787590,0.0,0.0,15,no change
691,gilbertdig2021,0.0,0.0,14,no change
674,jamaicanrabbit5,0.0,0.0,14,no change
1406,SianGissingMcM,0.0,0.0,13,no change
63,Zo8541,0.0,0.0,13,no change
649,ReNellGlover,0.0,0.0,13,no change
198,Echinanews,0.0,0.0,13,no change
648,TransClinique,0.0,0.0,12,no change
672,WeAreNotFood,0.0,0.0,12,no change
780,BurkeLynne,0.0,0.0,12,no change
846,justaneighsayer,0.0,0.0,11,no change
1386,sureshlp1,0.0,0.0,11,no change
779,JosephHeskin,0.0,0.0,11,no change
1409,MicrobesInfo,0.0,0.0,11,no change
875,HardyC888,0.0,0.0,10,no change
195,8NEWS,0.0,0.0,10,no change
688,ManiacXaq,0.0,0.0,10,no change
694,StacieinAtlanta,0.0,0.0,10,no change
764,Wordsmith1327,0.0,0.0,10,no change
763,DeanPNHalkitis,0.0,0.0,9,no change
873,femmexi,0.0,0.0,9,no change
599,OneHealthEJP,0.0,0.0,8,no change
698,Revista_FSL,0.0,0.0,8,no change
286,TheRealMrSee,0.0,0.0,8,no change
647,HatlaneBaloyi,0.0,0.0,8,no change
194,hicksyalex,0.0,0.0,8,no change
744,Captain_Obvio,0.0,0.0,7,no change
1387,singhpiya735,0.0,0.0,7,no change
684,francois_emery,0.0,0.0,6,no change
1403,PanAfricare_Ng,0.0,0.0,6,no change
192,LauraMiers,0.0,0.0,6,no change
1401,WeShieldUS,0.0,0.0,5,no change
1407,GenHawaii,0.0,0.0,5,no change
792,ISGMH,0.0,0.0,5,no change
983,hmarianeves,0.0,0.0,0,no change
1371,5MinMedievalist,0.0,0.0,0,no change
974,Man2ManIreland,0.0,0.0,0,no change
1381,DoctorAlexis1,0.0,0.0,0,no change
1382,CashApp,0.0,0.0,0,no change
1004,samijarrah,0.0,0.0,0,no change
1005,ChellyJellyBeen,0.0,0.0,0,no change
972,DodieThedodes77,0.0,0.0,0,no change
1006,AMC_Apee,0.0,0.0,0,no change
1008,BushSchool,0.0,0.0,0,no change
1370,b50921860,0.0,0.0,0,no change
1010,supertalk,0.0,0.0,0,no change
1011,imkureus,0.0,0.0,0,no change
1012,mami78177244,0.0,0.0,0,no change
1013,FlorenceOfLabia,0.0,0.0,0,no change
1368,MamolkcsMamol,0.0,0.0,0,no change
1015,BoatMateARS,0.0,0.0,0,no change
1383,ederandres152,0.0,0.0,0,no change
1366,HangOnGetReady,0.0,0.0,0,no change
1017,AYAPROW_BIGGFUN,0.0,0.0,0,no change
1365,WisconsinWatch,0.0,0.0,0,no change
1019,AFertileHeart,0.0,0.0,0,no change
